name;time
getServerPrefix;367713
on_message_global;133365
on_guild_remove;144088
on_message_global;140433
on_message_global;179062
getServerPrefix;398308
on_message_global;131915
on_message_global;131856
on_message_global;184727
getServerPrefix;398253
on_message_global;179760
getServerPrefix;376007
on_message_global;127374
getServerPrefix;370718
on_message_global;133073
getServerPrefix;385315
on_message_global;135496
getServerPrefix;617820
on_message_global;133714
getServerPrefix;361222
on_message_global;132067
getServerPrefix;607329
on_message_global;128576
getServerPrefix;469079
on_message_global;127041
getServerPrefix;411023
on_message_global;142801
on_message_global;144287
getServerPrefix;458240
on_message_global;173823
getServerPrefix;373375
on_message_global;133506
getServerPrefix;427532
on_message_global;132325
on_message_global;132110
getServerPrefix;614312
on_message_global;138267
getServerPrefix;759194
on_message_global;126975
getServerPrefix;406162
on_message_global;168025
getServerPrefix;507561
on_message_global;247622
getServerPrefix;490260
on_message_global;182339
on_message_global;216629
getServerPrefix;677834
on_message_global;179781
on_message_global;139903
getServerPrefix;683952
on_message_global;139222
getServerPrefix;446695
on_message_global;157525
on_message_global;146413
getServerPrefix;410099
on_message_global;147749
getServerPrefix;406554
on_message_global;157363
getServerPrefix;442511
on_message_global;164414
getServerPrefix;704230
on_message_global;158767
getServerPrefix;607843
on_message_global;143128
getServerPrefix;685035
on_message_global;187520
on_message_global;131359
on_message_global;132832
getServerPrefix;380655
on_message_global;132241
getServerPrefix;637528
on_message_global;132741
on_message_global;185036
getServerPrefix;624033
on_message_global;139490
getServerPrefix;386367
on_message_global;135584
on_message_global;129006
getServerPrefix;374413
on_message_global;127666
getServerPrefix;390982
on_message_global;132211
getServerPrefix;387346
on_message_global;133430
getServerPrefix;353371
on_message_global;149884
getServerPrefix;379748
on_message_global;178179
getServerPrefix;403429
on_message_global;140687
getServerPrefix;362932
on_message_global;130906
on_message_global;141648
on_message_global;133272
on_message_global;157153
getServerPrefix;387575
on_message_global;131801
getServerPrefix;360807
on_message_global;175726
on_message_global;180478
getServerPrefix;379056
on_message_global;130063
getServerPrefix;405987
on_message_global;145950
getServerPrefix;423916
on_message_global;133393
on_message_global;133141
on_message_global;132582
on_message_global;131164
getServerPrefix;595991
on_message_global;131423
on_message_global;131828
on_message_global;148528
getServerPrefix;396235
on_message_global;209671
getServerPrefix;425319
on_message_global;132933
on_message_global;131474
on_message_global;131215
on_message_global;134065
on_message_global;147027
on_message_global;134398
on_message_global;133790
on_message_global;129562
on_message_global;133620
getServerPrefix;396213
on_message_global;176873
getServerPrefix;365195
on_message_global;122994
getServerPrefix;372334
on_message_global;133669
getServerPrefix;719716
on_message_global;170576
on_message_global;130145
getServerPrefix;366430
on_message_global;130866
getServerPrefix;360502
on_message_global;134022
getServerPrefix;613359
on_message_global;173505
getServerPrefix;354151
on_message_global;130374
getServerPrefix;373197
on_message_global;132711
getServerPrefix;373017
on_message_global;131213
getServerPrefix;683567
on_message_global;141503
getServerPrefix;377325
on_message_global;126534
on_message_global;133077
getServerPrefix;349677
getServerPrefix_cog;148602
on_message_global;184016
getServerPrefix;369195
on_message_global;130887
getServerPrefix;677313
on_message_global;179787
getServerPrefix;669020
on_message_global;176898
on_message_global;139846
getServerPrefix;713156
on_message_global;127883
getServerPrefix;360210
on_message_global;179434
getServerPrefix;374819
on_message_global;129896
getServerPrefix;656801
on_message_global;135801
on_message_global;188114
getServerPrefix;362839
on_message_global;134655
getServerPrefix;376856
on_message_global;181709
on_message_global;131967
getServerPrefix;364635
on_message_global;178383
on_message_global;178305
getServerPrefix;369512
on_message_global;127651
getServerPrefix;350281
on_message_global;132175
getServerPrefix;361886
on_message_global;131901
getServerPrefix;363576
on_message_global;131903
on_message_global;133825
getServerPrefix;370255
on_message_global;132350
getServerPrefix;386451
on_message_global;131596
getServerPrefix;364088
on_message_global;135936
getServerPrefix;284839
on_message_global;128778
getServerPrefix;361594
on_message_global;140801
getServerPrefix;438094
on_message_global;142309
getServerPrefix;352277
on_message_global;180565
getServerPrefix;380103
on_message_global;130629
on_message_global;137611
getServerPrefix;415431
on_message_global;140164
on_message_global;199472
getServerPrefix;427121
on_message_global;161475
getServerPrefix;377804
on_message_global;131797
getServerPrefix;595149
on_message_global;130417
getServerPrefix;385497
on_message_global;178790
on_message_global;130226
getServerPrefix;688579
on_message_global;130665
getServerPrefix;423682
on_message_global;132694
getServerPrefix;414480
on_message_global;135492
getServerPrefix;408445
on_message_global;132522
on_message_global;187033
on_message_global;131628
on_message_global;129489
getServerPrefix;365524
on_message_global;175684
getServerPrefix;381500
on_message_global;135022
getServerPrefix;294897
on_message_global;129185
getServerPrefix;396308
on_message_global;133635
getServerPrefix;377408
on_message_global;151723
on_message_global;131754
getServerPrefix;350236
on_message_global;130890
getServerPrefix;625097
on_message_global;130617
getServerPrefix;355491
on_message_global;131935
getServerPrefix;656206
on_message_global;134025
getServerPrefix;370104
on_message_global;133644
on_message_global;132488
getServerPrefix;671404
on_message_global;131854
getServerPrefix;361664
on_message_global;133449
on_message_global;141950
getServerPrefix;616457
on_message_global;127937
getServerPrefix;353065
on_message_global;134695
getServerPrefix;386909
on_message_global;132323
getServerPrefix;354943
on_message_global;143980
on_message_global;133268
getServerPrefix;438403
on_message_global;143789
getServerPrefix;380467
on_message_global;136497
getServerPrefix;26640
on_message_global;184608
getServerPrefix;348725
on_message_global;145001
getServerPrefix;387661
on_message_global;131273
on_message_global;133347
getServerPrefix;358968
on_message_global;129834
getServerPrefix;362821
on_message_global;131736
on_message_global;128127
getServerPrefix;349933
on_message_global;130374
getServerPrefix;360082
on_message_global;133198
getServerPrefix;375178
on_message_global;130752
on_message_global;131889
getServerPrefix;346375
on_message_global;130093
on_message_global;141550
on_message_global;129132
on_message_global;130400
getServerPrefix;611003
on_message_global;123793
getServerPrefix;692075
on_message_global;132872
getServerPrefix;710827
on_message_global;132220
getServerPrefix;374854
on_message_global;130950
getServerPrefix;359990
on_message_global;131084
on_message_global;130148
getServerPrefix;441750
on_message_global;133401
getServerPrefix;221495
on_message_global;131548
cog_check;132844
checkCooldownCache;0
getServerPrefix;390462
on_message_global;130763
on_message_global;125916
on_message_global;132190
getServerPrefix;418747
on_message_global;127457
on_message_global;136363
getServerPrefix;347028
on_message_global;177754
getServerPrefix;380938
on_message_global;130502
getServerPrefix;371069
on_message_global;149618
getServerPrefix;367513
on_message_global;138963
on_message_global;132697
getServerPrefix;365264
on_message_global;132601
getServerPrefix;361482
on_message_global;141327
on_message_global;132136
getServerPrefix;357231
on_message_global;176179
getServerPrefix;363664
on_message_global;132223
getServerPrefix;350883
on_message_global;135392
getServerPrefix;383805
on_message_global;132362
on_message_global;128735
on_message_global;134369
getServerPrefix;419442
on_message_global;146975
on_message_global;141847
getServerPrefix;363616
on_message_global;131754
getServerPrefix;360676
cog_check;131079
on_message_global;465691
getServerPrefix;365520
on_message_global;129706
getServerPrefix;359291
on_message_global;122604
getServerPrefix;361255
on_message_global;127848
getServerPrefix;357788
on_message_global;169927
getServerPrefix;367824
on_message_global;124623
on_message_global;128489
getServerPrefix;705580
on_message_global;129700
getServerPrefix;364346
on_message_global;129586
getServerPrefix;401017
on_message_global;128639
getServerPrefix;679282
on_message_global;129127
on_message_global;128139
getServerPrefix;659618
on_message_global;129102
getServerPrefix;347773
on_message_global;127949
on_message_global;129156
getServerPrefix;357527
on_message_global;168254
getServerPrefix;439399
on_message_global;130196
on_message_global;129565
getServerPrefix;378644
on_message_global;127724
getServerPrefix;373283
on_message_global;128762
on_message_global;132505
getServerPrefix;666031
on_message_global;128083
getServerPrefix;355256
on_message_global;169649
on_message_global;125943
on_message_global;166453
getServerPrefix;366879
on_message_global;126838
getServerPrefix;367801
on_message_global;128188
getServerPrefix;359512
on_message_global;123884
getServerPrefix;360087
